Class	Average Difficulty	Additional Comments	Difficulty	Date
		"Taken with Lee Singh in Fall 2020. Four  essays each worth 18% of grade, and ""letters"" worth 1% each is all the homework you get. She grades strictly according to the textbook u need to purchase, ""The St. Martins Guide to Reading and Writing"", so make sure to look at the essay examples and identify how you can model your essay off them. I had an extremely hard time doing well on the essays in the beginning and my lowest essay score was an 80%, so she grades PRETTY HARSHLY. However, this does not mean you cannot pass. Her final though, YOU NEED TO HAVE TIME MANAGEMENT FOR...she gives you the fourth essay and the final  three weeks before they are due two days in a row. The finals consists of a 1500 word essay and two 500 word essays which have to do with the in class reading ""The Glass Castle"". Let me tell you...read the book the whole way through, or you WILL NOT pass this final. Basically, she assigns the fourth essay and 3 finals essays to complete in less than three weeks with no exceptions. ALSO...USE HER OFFICE HOURS...you get to read your drafts to her and she will give grammatical and content suggestions to improve your essays and also gives suggestions as to how you can use remaining days to refocus or bulk up what you are writing."	5	1/4/2021
		Paul AJ Beehler; would not recommend him. CON: Does 2-3 reading each week, assigned 3 different types of homework, grades fairly harsh on essays, have pop quizzes everyday when you come into class. PRO: very interactive in the beginning of class and all throughout, always offers office hours.	8	2/3/2021
		I took English001A with Kathleen Gurnett and it was absolutely terrible. The whole class is just reading a bunch of essays and writing essays. In class, all you ever do is reread what she told us before and teaches nothing. She is an extremely hard grader and super picky. If you have to take the class, I would suggest not taking it with her (if that is a option)	9	3/6/2021
		A TA will be teaching this class, I had 3 essays with an additional draft for essay 3 and a fine. I procrastinated lot and still ended up getting an A so it depends how the TA will grade.	7	3/18/2021
		"I took this class with Professor Washburn. Her lectures aren't too bad and the workload is fair. We pretty much only wrote three essays, read ""In Between the World and Me"", and took the final, which was a timed essay. Honestly, I'd recommend taking English with her. She's really nice and understanding."	4	6/2/2021
		I took this class with Professor Gurnett during Spring 2021. She’s a tough grader and a huge part of the class is participation. I had read on Ratemyprofessor that she often accused students of plagiarism but decided to take the class anyway. I can definitely say that this is a problem but you can meet with her during office hours to discuss it. 	7	6/4/2021
		Took it online(Spring'21) -Prof Anne Schnarr - small and easy quizzes, 3 essays (+1 final essay) easiest final , go to office hours for each essay(she will write the essay with you). Good luck!	3	6/14/2021
		Can be hard if your first language is not english. It also depend heavily on your professor or the graduate student hat is teaching you. But overall the content is there and train you to write more effectively. Just go to your office hour and visit ARC for writing support.	5	12/13/2021
		I had Professor Vasquez, she is very kind. She has a class critique structure such that you could see how other people reflect on different essays from your classmates.	5	12/15/2021
		Make sure to start essays earlier on! Apply strategies professors mention in your essays.	4	12/25/2021
		Pretty easy class tbh. I had Akshay Ganesh. We only had one book to read and he went through it during many classes so it was pretty easy. Essay prompts are okay as well, only difficulty is time management imo.	3	12/25/2021
		Had Professor Inyang for online class. It was easy and just required some readings. She was really nice and accommodating for everyone. She didn't give us quizzes because we didn't have time, so be careful for any future classes. Make sure you participate in the class.	3	2/4/2022
		Easy class 4 essays.	1	3/7/2022
		I took it with colin innes, he's a very easy professor. We had 4 essays, two books to read.  2/4 essays + the final were about the books.	3	3/17/2022
		Albert Anthony grades very hard and has it out for his students. If he does not like your opinion he will fall you even though you put in the time and effort.	2	3/30/2022
		I had Dr. Acker, honestly super nice and helpful. There is no hw, only 3 essays and some classwork. Workload is easily manageable as long as you don't procrastinate on essays. His essay outlines are really helpful and tell you exactly what he is looking for. His corny jokes and stories are somewhat enjoyable. Overall 10/10 professor.	3	12/5/2022
		I had Karen Polster. I hate writing so I biased to more difficultly. Required 4 essays and a group final film presentation. Max score on essay is 95%. Lowest is 80%. Easy to pass almost impossible to get an A since her standard for A is 95%. A- 90-95%	7	12/7/2022
